id;kliendigrupp
TJA-027;ettevõte
TMV-006;ettevõte
RA-014;ettevõte
JUM-015;ettevõte
VTA-032;ettevõte
KKA-016;ettevõte
JUM-003;ettevõte
JUM-021;ettevõte
VTA-043;ettevõte
MA-050;ettevõte
MA-035;ettevõte
EPA-005;ettevõte
TJA-070;ettevõte
INNO-007;ettevõte
SKA-008;ettevõte
KA-005;ettevõte
STAT-013;ettevõte
EAM-005;ettevõte
MAAI-007;ettevõte
VTA-007;ettevõte
AKI-002;ettevõte
LA-019;ettevõte
AKI-009;ettevõte
TJA-038;ettevõte
STAT-019;ettevõte
KKA-025;ettevõte
TJA-049;ettevõte
TMV-020;ettevõte
KI-001;ettevõte
JUM-032;ettevõte
RIA-011;ettevõte
KEM-002;ettevõte
HTM-003;ettevõte
EPA-006;ettevõte
TJA-081;ettevõte
SKA-015;ettevõte
RTK-001;ettevõte
TJA-016;ettevõte
mta-008;ettevõte
RA-004;ettevõte
KURG-005;ettevõte
VTA-021;ettevõte
JUM-011;ettevõte
MKM-030;ettevõte
MKM-041;ettevõte
MAAI-004;ettevõte
TJA-060;ettevõte
KKA-011;ettevõte
HTM-007;ettevõte
RIA-025;ettevõte
SPOR-001;ettevõte
MA-037;ettevõte
EPA-009;ettevõte
MA-010;ettevõte
SKA-026;ettevõte
LA-009;ettevõte
TJA-028;ettevõte
TMV-007;ettevõte
RA-015;ettevõte
PRIA-003;ettevõte
VTA-033;ettevõte
