id.x;kanal.x;aasta;ajakulu.y;hind.y;osutamistearv.y;rahulolu.y
RTK-004;Veebileht;2014;;;;79
SIM-001;Veebileht;2013;;;700;
SIM-002;Veebileht;2013;;;2996;
SIM-004;Eesti;2013;;;28878;
SIM-006;Eesti;2013;;;1095;
SIM-007;Eesti;2013;;;134;
SIM-014;Eesti;2013;;;261917;
SIM-015;Eesti;2013;;;146897;
SISE-002;Veebileht;2014;0.25;2128;;
SPOR-001;Veebileht;2014;0.33;;4718;
SPOR-002;Veebileht;2014;0.5;;2937;
STAT-001;Veebileht;2014;1;202500;;
STAT-002;Veebileht;2014;;56700;;34
STAT-006;Veebileht;2014;1;165700;;
STAT-007;E-iseteenindus;2014;1;;;34
STAT-011;E-iseteenindus;2014;0.5;3300;;
STAT-023;Veebileht;2014;0.5;;;34
TAI-001;E-iseteenindus;2013;;;31827;
TAI-004;E-iseteenindus;2013;;;153913;
TERV-001;Veebileht;2013;;;83;
TERV-003;E-iseteenindus;2013;;;2618;
TERV-006;E-iseteenindus;2013;;;109857;
TERV-008;E-iseteenindus;2013;;;66079;
TI-004;Kliendijuures;2013;;;794;
TI-009;E-iseteenindus;2013;;;10;
TI-009;Letiteenus büroos;2013;;;1080;
TI-009;Post;2013;;;300;
TI-010;E-iseteenindus;2013;;;146;
TI-011;E-iseteenindus;2013;;;124;
TI-011;E-post;2013;;;645;
TI-011;Post;2013;;;44;
TI-012;Post;2013;;;43;
TI-013;E-post;2013;;;717;
TI-019;E-post;2013;;;1;
TI-022;E-iseteenindus;2013;;;1;
TI-022;E-post;2013;;;71;
TI-023;Post;2013;;;9;
TI-024;E-post;2013;;;206;
TI-024;Letiteenus büroos;2013;;;1;
TI-024;Post;2013;;;13;
TI-025;E-post;2014;;;;74
TI-025;Letiteenus büroos;2013;;;4099;
TI-025;Telefon;2014;;;;85
TI-027;E-post;2013;;;317;
TI-027;Letiteenus büroos;2013;;;17;
TI-027;Post;2013;;;12;
TI-028;E-post;2013;;;44;
TI-028;Telefon;2013;;;182;
TI-029;E-post;2013;;;22;
TKA-006;E-iseteenindus;2014;0.24;;24775;
TKA-008;E-iseteenindus;2013;;;2500;
TKA-009;E-post;2013;;;1012;
TKA-009;Letiteenus büroos;2013;;;147;
TKA-009;Post;2013;;;61;
TKA-011;Telefon;2014;0.1;;23579;
VENE-001;Veebileht;2014;;;;50
VET-002;E-post;2013;;;320;
VET-005;Veebileht;2013;;;32;
VET-009;E-post;2013;;;10;
VET-010;E-post;2013;;;3710;
VET-014;E-post;2013;;;196;
VET-014;Post;2013;;;17;
VET-018;Post;2013;;;3;
VET-020;Kliendijuures;2013;;;4924;
VETL-001;Letiteenus büroos;2013;;;8602;
VETL-002;Letiteenus büroos;2013;;;60928;
VETL-004;Letiteenus büroos;2013;;;393;
VETL-005;Letiteenus büroos;2013;;;14927;
VETL-006;Letiteenus büroos;2013;;;3718;
VETL-007;Letiteenus büroos;2013;;;57470;
VETL-008;Letiteenus büroos;2013;;;13437;
VETL-009;Letiteenus büroos;2013;;;2484;
VETL-011;Letiteenus büroos;2013;;;9612;
VETL-012;Letiteenus büroos;2013;;;7906;
VETL-013;Letiteenus büroos;2013;;;9172;
VTA-007;E-post;2013;;;28;
VTA-010;E-post;2013;;;12;
VTA-013;E-post;2013;;;1;
VTA-016;Letiteenus büroos;2014;;;;71.93
VTA-018;E-post;2014;;;;98.1
VTA-019;E-post;2013;;;22;
VTA-021;E-post;2013;;;98;
VTA-025;E-post;2013;;;21;
VTA-026;Letiteenus büroos;2014;;;;71.93
VTA-027;Letiteenus büroos;2014;;;;71.93
VTA-029;Letiteenus büroos;2013;;;157;71.93
VTA-032;Letiteenus büroos;2013;;;10;71.93
VTA-033;Letiteenus büroos;2014;;;;71.93
VTA-034;Letiteenus büroos;2013;;;7;71.93
VTA-035;Letiteenus büroos;2014;;;;71.93
VTA-037;Letiteenus büroos;2013;;;176;71.93
VTA-038;Letiteenus büroos;2014;;;;71.93
VTA-039;Letiteenus büroos;2013;;;69;
VTA-040;Letiteenus büroos;2013;;;31;71.93
VTA-045;Letiteenus büroos;2013;;;356;
VTA-049;Veebileht;2013;;;169;
VTA-050;Veebileht;2014;0.04;;;
VTA-053;Veebileht;2013;;;4;
VTA-054;Veebileht;2013;;;132;
VTA-055;Nutirakendus;2014;0.03;;12732;
VTA-058;E-post;2013;;;6;
VTA-059;E-post;2014;88;;6;
MKM-039;E-post;2013;1;;;
MKM-040;E-post;2013;1;;41;
MKM-040;Post;2013;1;;23;
RIA-008;E-post;2013;0.08;;131;
RIA-011;Telefon;2013;0.08;;;38
RIA-020;E-post;2013;0.67;;;
RIA-026;E-post;2013;0.08;;;
RIA-033;Veebileht;2013;0.11;;424;
SISE-002;Veebileht;2013;0.25;2128;;
SPOR-001;Veebileht;2013;0.33;;4718;
SPOR-002;Veebileht;2013;0.5;;2937;
STAT-001;Veebileht;2013;1;202500;;
STAT-006;Veebileht;2013;1;165700;;
STAT-007;E-iseteenindus;2013;1;;;34
STAT-011;E-iseteenindus;2013;0.5;3300;;
STAT-023;Veebileht;2013;0.5;;;34
TKA-006;E-iseteenindus;2013;0.24;;24775;
TKA-011;Telefon;2013;0.1;;23579;
VTA-050;Veebileht;2013;0.04;;;
VTA-055;Nutirakendus;2013;0.03;;12732;
VTA-059;E-post;2013;88;;6;
